galaxy,dcrra4_triangle_class,dcrra7_residual_map_zone,dcrra7_evidence_tier,dcrra7_proxy_support_flag,proxy_centroid_predicted_class,nearest_centroid_margin,dcrra3_recommended_class,dcrra3_class_stability,best_n,rrf_rc_over_rlast,rrf_A_over_vouter2,v_outer_kms,v_max_kms,gas_fraction_proxy,outer_baryon_fraction_proxy,n_points,estimated_family_delta_aic_minus_nfw_like,estimated_family_delta_aic_minus_rar_like,dcrra7_rationale,dcrra7_claim_boundary_note,rrf_aic_v2,curve_level_rrf_A_kms2,curve_level_rrf_rc_kpc,best_destructive_null,delta_aic_rrf_minus_best_destructive_null,best_neighbor_null,delta_aic_rrf_minus_best_neighbor_null,best_aic_v2,locked_aic_v2,delta_aic_locked_minus_best_continuum,locked_within_2_of_best,locked_within_10_of_best,grid_count_within_2_of_best,grid_count_within_10_of_best,response_family_strength_axis,halo_competitiveness_axis,rar_competitiveness_axis,nuisance_or_pathology_flag,overflex_neighbor_risk_flag,destructive_null_pass_flag,component_curve_external_validation_status
F563-1,NUISANCE_SENSITIVE,NUISANCE_SENSITIVE_ZONE,PASS_THROUGH_CAUTION,PROXY_SUPPORTED,NUISANCE_SENSITIVE,1.0746364903467387,NUISANCE_SENSITIVE,STABLE,3.75,0.1401376038793744,0.848415454663316,111.5,112.5,0.4291438467246827,0.1338615294898349,17,-12.855631168087246,-9.190447704920448,Classification is dominated by nuisance-boundary sensitivity and is not mapped as a physical residual regime.,Diagnostic residual-regime map only; not a physical dark-matter classification.,7.624271028319944,10121.671503794534,2.923649311306986,shuffled_radius_rrf_nfixed,-58.88977272979765,saturating_n4,0.1270828525605303,7.472782988285845,7.620579259366702,0.1477962710808569,1,1,19,37,22.046078873007694,-12.855631168087246,-9.190447704920448,1,1,1,NOT_TESTED_DATA_AVAILABILITY_HOLD
F563-V2,NUISANCE_SENSITIVE,NUISANCE_SENSITIVE_ZONE,PASS_THROUGH_CAUTION,PROXY_MISMATCH_DIAGNOSTIC_CAUTION,THREE_WAY_COMPETITIVE,0.1297122908894232,NUISANCE_SENSITIVE,STABLE,2.75,0.204028245524642,0.656131248776451,118.0,118.0,0.0826615559827784,0.2167593363975869,10,-5.824966510174958,0.7319019160020908,Classification is dominated by nuisance-boundary sensitivity and is not mapped as a physical residual regime.,Diagnostic residual-regime map only; not a physical dark-matter classification.,4.708991835066544,11878.758358634886,1.9823605092789671,outer_step_median,-22.546879309603185,saturating_n2,-0.7035383486809526,4.477215846253684,4.708606650577496,0.2313908043238122,1,1,12,38,5.824966510174958,-5.824966510174958,0.7319019160020908,1,0,1,NOT_TESTED_DATA_AVAILABILITY_HOLD
F568-1,THREE_WAY_COMPETITIVE,MIXED_THREE_WAY_COMPETITIVE_ZONE,HIGH_DIAGNOSTIC,PROXY_SUPPORTED,THREE_WAY_COMPETITIVE,0.0476024161172445,MIXED_COMPETITIVE,STABLE,2.5,0.2422094347320097,0.6810086588426209,133.0,142.0,0.0641954520350811,0.2247057097631296,12,-8.792170896755017,-5.027749912199029,"NFW-like, RAR-like, and SN-RRF-family-like descriptions remain broadly competitive.",Diagnostic residual-regime map only; not a physical dark-matter classification.,5.137576600069555,14458.677031943826,2.892353652836071,outer_step_median,-59.79381075180872,saturating_n2,0.4399314325796419,4.2500221176351225,5.162527752487417,0.9125056348522946,1,1,10,28,13.819920808954047,-8.792170896755017,-5.027749912199029,0,1,1,NOT_TESTED_DATA_AVAILABILITY_HOLD
F568-3,SN_RRF_FAMILY_TRIANGLE_DOMINANT,RESPONSE_FAMILY_DOMINANT_ZONE,MEDIUM_WITH_PROXY_CAUTION,PROXY_MISMATCH_DIAGNOSTIC_CAUTION,SN_RRF_RAR_ADVANTAGE_NFW_COMPETITIVE,0.1092942105959151,SN_RRF_FAMILY_LIKE,STABLE,3.25,0.217139396070658,0.7400438971856966,107.0,120.0,0.0279303255585602,0.3352873613416019,18,-48.18526202555267,-38.16478015332208,SN-RRF-family-like comparator dominates the triangular diagnostic margin.,Diagnostic residual-regime map only; not a physical dark-matter classification.,7.47955583482322,8603.666429164083,3.899314852117791,outer_step_median,-107.1164476064663,saturating_n4,-2.439212479782741,7.407068814224998,7.409435972173604,0.0023671579486057,1,1,6,15,86.35004217887474,-48.18526202555267,-38.16478015332208,0,0,1,NOT_TESTED_DATA_AVAILABILITY_HOLD
F568-V1,THREE_WAY_COMPETITIVE,MIXED_THREE_WAY_COMPETITIVE_ZONE,MEDIUM_WITH_PROXY_CAUTION,PROXY_MISMATCH_DIAGNOSTIC_CAUTION,SN_RRF_RAR_ADVANTAGE_NFW_COMPETITIVE,0.1892260653695414,MIXED_COMPETITIVE,STABLE,2.5,0.1526612881500541,0.765461295372624,112.0044641967453,118.0,0.0681158740197896,0.2032920127540853,15,-1.4647164164372033,0.4857623320877744,"NFW-like, RAR-like, and SN-RRF-family-like descriptions remain broadly competitive.",Diagnostic residual-regime map only; not a physical dark-matter classification.,5.128880475247271,11512.235339091303,2.5660908024264217,shuffled_radius_rrf_nfixed,-17.676401441484288,saturating_n2,0.1365836706429233,4.775251367267122,5.12601060224388,0.3507592349767572,1,1,14,40,1.4647164164372033,-1.4647164164372033,0.4857623320877744,0,1,1,NOT_TESTED_DATA_AVAILABILITY_HOLD
F571-8,SN_RRF_FAMILY_TRIANGLE_DOMINANT,RESPONSE_FAMILY_DOMINANT_ZONE,LOW_TO_MEDIUM_RECLASSIFICATION_CAUTION,PROXY_MISMATCH_DIAGNOSTIC_CAUTION,UNRESOLVED_TRIANGULAR,0.3728389824986653,UNRESOLVED_OR_WEAK,WEAK-MISMATCH,4.75,0.3343232456977319,1.0385375820375815,137.5227253947507,144.0,0.0083012805474973,0.2400174091209516,13,-19.3919905363228,-526.3424004858297,SN-RRF-family-like comparator dominates the triangular diagnostic margin.,Diagnostic residual-regime map only; not a physical dark-matter classification.,125.29267436253204,20349.452761649663,6.332370654410824,outer_step_median,-92.02883939704094,saturating_n4,7.117159821509418,116.64730099544268,125.38741999795911,8.740119002516437,0,1,6,17,545.7343910221525,-19.3919905363228,-526.3424004858297,0,1,1,NOT_TESTED_DATA_AVAILABILITY_HOLD
F574-1,SN_RRF_FAMILY_TRIANGLE_DOMINANT,RESPONSE_FAMILY_DOMINANT_ZONE,MEDIUM_WITH_PROXY_CAUTION,PROXY_MISMATCH_DIAGNOSTIC_CAUTION,THREE_WAY_COMPETITIVE,0.2107819824368584,SN_RRF_FAMILY_LIKE,STABLE,2.25,0.2491003292902196,0.6156857941285421,99.15061774895808,99.7,0.0550001193570023,0.3306187667489417,14,-20.01606505239241,-25.505217090935627,SN-RRF-family-like comparator dominates the triangular diagnostic margin.,Diagnostic residual-regime map only; not a physical dark-matter classification.,7.140848262214439,7681.125502618162,2.7939947863041024,shuffled_radius_rrf_nfixed,-196.8258357952859,saturating_n2,1.97381772489753,4.519580558800069,7.095317341849616,2.575736783049547,0,1,5,14,45.52128214332804,-20.01606505239241,-25.505217090935627,0,1,1,NOT_TESTED_DATA_AVAILABILITY_HOLD
F579-V1,SN_RRF_RAR_ADVANTAGE_NFW_COMPETITIVE,RESPONSE_FAMILY_WITH_NFW_COMPETITIVE_ZONE,LOW_TO_MEDIUM_RECLASSIFICATION_CAUTION,PROXY_SUPPORTED,SN_RRF_RAR_ADVANTAGE_NFW_COMPETITIVE,0.1300809993677609,UNRESOLVED_OR_WEAK,WEAK-MISMATCH,2.0,0.0462109686454746,0.4622064237773888,114.0,114.0,0.0399889921165492,0.4489963450292398,14,-3.6131851585052432,-29.66294092389072,SN-RRF-family-like margin is strong relative to RAR-like while NFW-like remains competitive.,Diagnostic residual-regime map only; not a physical dark-matter classification.,6.010555254528066,8909.822042453947,0.9491516329392116,shuffled_radius_rrf_nfixed,-0.3988682505267782,saturating_n2,1.8367406023877075,4.176219509729422,6.011533404516449,1.835313894787027,1,1,10,40,33.27612608239596,-3.6131851585052432,-29.66294092389072,0,1,1,NOT_TESTED_DATA_AVAILABILITY_HOLD
F583-1,SN_RRF_FAMILY_TRIANGLE_DOMINANT,RESPONSE_FAMILY_DOMINANT_ZONE,HIGH_DIAGNOSTIC,PROXY_SUPPORTED,SN_RRF_FAMILY_TRIANGLE_DOMINANT,0.059879190188238,SN_RRF_FAMILY_LIKE,STABLE,2.5,0.2009590242049004,0.7669085764891291,80.3,86.9,0.0,0.1775511352974292,25,-33.461109446273866,-41.82132254536074,SN-RRF-family-like comparator dominates the triangular diagnostic margin.,Diagnostic residual-regime map only; not a physical dark-matter classification.,9.09839156237219,5211.592706147845,3.028560424814862,outer_step_median,-134.0661967701155,saturating_n2,0.2092020558840559,5.9046229055121575,9.193342054997869,3.288719149485709,0,1,4,11,75.28243199163461,-33.461109446273866,-41.82132254536074,0,1,1,NOT_TESTED_DATA_AVAILABILITY_HOLD
F583-4,PATHOLOGY_ARCHIVE,PATHOLOGY_ARCHIVE_ZONE,PASS_THROUGH_CAUTION,PROXY_SUPPORTED,PATHOLOGY_ARCHIVE,297.827752626964,PATHOLOGY_ARCHIVE,STABLE,1.25,6.857453079640037,221.4420061631733,67.2,69.9,0.0593960362422287,0.3577840003188776,12,-6.381560069032898,-2.4932990467102543,Core/pathology guard active; archive from physical interpretation.,Diagnostic residual-regime map only; not a physical dark-matter classification.,11.880428158236445,3002.66327849137,1.5866781783475674,shuffled_radius_rrf_nfixed,-24.264275284077154,saturating_n1,6.375204545960068,5.503336579698382,11.8903636847025,6.387027105004118,0,1,4,19,8.874859115743153,-6.381560069032898,-2.4932990467102543,1,1,1,NOT_TESTED_DATA_AVAILABILITY_HOLD
IC2574,SN_RRF_FAMILY_TRIANGLE_DOMINANT,RESPONSE_FAMILY_DOMINANT_ZONE,LOW_TO_MEDIUM_RECLASSIFICATION_CAUTION,PROXY_MISMATCH_DIAGNOSTIC_CAUTION,UNRESOLVED_TRIANGULAR,0.3477745427982599,SN_RRF_FAMILY_LIKE,CAUTION-RECLASSIFY,1.5,0.8283831339269393,1.1254730942061557,63.8,67.5,0.2116150179551619,0.2876462741128723,34,-1108.9191718874874,-217.3524780184149,SN-RRF-family-like comparator dominates the triangular diagnostic margin.,Diagnostic residual-regime map only; not a physical dark-matter classification.,150.5544349182248,2952.619310909403,5.142523956180357,outer_step_median,-1058.963311826627,saturating_n2,100.18711076057052,37.529481530888674,150.63903673133046,113.1095552004418,0,0,2,2,1326.2716499059024,-1108.9191718874874,-217.3524780184149,0,1,1,NOT_TESTED_DATA_AVAILABILITY_HOLD
IC4202,SN_RRF_FAMILY_TRIANGLE_DOMINANT,RESPONSE_FAMILY_DOMINANT_ZONE,MEDIUM_WITH_PROXY_CAUTION,PROXY_MISMATCH_DIAGNOSTIC_CAUTION,NFW_TRIANGLE_DOMINANT,0.6591546654219504,UNRESOLVED_OR_WEAK,STABLE,5.25,0.1278974859817548,0.8366724070067261,244.0020491717232,250.0,0.0123581127406597,0.7197173681912087,32,-539.4358516724362,-966.2044784718516,SN-RRF-family-like comparator dominates the triangular diagnostic margin.,Diagnostic residual-regime map only; not a physical dark-matter classification.,2636.9867453439592,32940.54028876165,5.598431246324753,shuffled_radius_rrf_nfixed,-1321.4358922809597,saturating_n6,71.16663504743792,2564.170491051193,2637.5581183412824,73.38762729008931,0,0,5,11,1505.6403301442879,-539.4358516724362,-966.2044784718516,0,1,1,NOT_TESTED_DATA_AVAILABILITY_HOLD
KK98-251,SN_RRF_FAMILY_TRIANGLE_DOMINANT,RESPONSE_FAMILY_DOMINANT_ZONE,MEDIUM_WITH_PROXY_CAUTION,PROXY_MISMATCH_DIAGNOSTIC_CAUTION,NUISANCE_SENSITIVE,1.0727983010293385,SN_RRF_FAMILY_LIKE,STABLE,2.5,0.6517010558274364,0.7000395472910395,33.752999866678515,34.6,0.6284665887812021,0.4100048715619281,15,-20.18080584230779,-269.2653141438899,SN-RRF-family-like comparator dominates the triangular diagnostic margin.,Diagnostic residual-regime map only; not a physical dark-matter classification.,8.187189714841246,928.8724264707294,1.7162920468038985,outer_step_median,-44.19888972839929,saturating_n2,0.7706081105777169,6.860945518150593,8.197509933275953,1.33656441512536,1,1,8,20,289.4461199861977,-20.18080584230779,-269.2653141438899,0,1,1,NOT_TESTED_DATA_AVAILABILITY_HOLD
NGC0024,SN_RRF_RAR_ADVANTAGE_NFW_COMPETITIVE,RESPONSE_FAMILY_WITH_NFW_COMPETITIVE_ZONE,LOW_TO_MEDIUM_RECLASSIFICATION_CAUTION,PROXY_MISMATCH_DIAGNOSTIC_CAUTION,SN_RRF_FAMILY_TRIANGLE_DOMINANT,0.5475610908688586,MIXED_COMPETITIVE,WEAK-MISMATCH,2.0,0.0810573064565123,0.9278399647960706,107.0,110.0,0.0319716696243104,0.3737699973796838,29,-4.339303425083575,-10.003988032714908,SN-RRF-family-like margin is strong relative to RAR-like while NFW-like remains competitive.,Diagnostic residual-regime map only; not a physical dark-matter classification.,23.78719219138437,9505.245613351262,1.1021845378274882,outer_step_median,-192.60467023117732,saturating_n2,11.486153837704869,12.278461603550268,23.75341335836281,11.47495175481254,0,0,3,7,14.343291457798482,-4.339303425083575,-10.003988032714908,0,1,1,NOT_TESTED_DATA_AVAILABILITY_HOLD
NGC0055,SN_RRF_FAMILY_TRIANGLE_DOMINANT,RESPONSE_FAMILY_DOMINANT_ZONE,MEDIUM_WITH_PROXY_CAUTION,PROXY_MISMATCH_DIAGNOSTIC_CAUTION,NUISANCE_SENSITIVE,1.219612383542674,SN_RRF_FAMILY_LIKE,STABLE,2.5,0.3935160498339721,0.6793056427322015,86.1500145095751,87.4,0.4279721391830404,0.4450151950497351,21,-36.733368842467215,-80.7096146249526,SN-RRF-family-like comparator dominates the triangular diagnostic margin.,Diagnostic residual-regime map only; not a physical dark-matter classification.,13.680137323754373,5231.557438387967,4.7281922327022095,shuffled_radius_rrf_nfixed,-305.9041527399795,saturating_n2,2.268447243072478,6.616578570579791,13.66850878594904,7.051930215369249,0,1,3,7,117.44298346741981,-36.733368842467215,-80.7096146249526,0,1,1,NOT_TESTED_DATA_AVAILABILITY_HOLD
NGC0100,SN_RRF_FAMILY_TRIANGLE_DOMINANT,RESPONSE_FAMILY_DOMINANT_ZONE,MEDIUM_WITH_PROXY_CAUTION,PROXY_MISMATCH_DIAGNOSTIC_CAUTION,UNRESOLVED_TRIANGULAR,0.1999013591233445,SN_RRF_FAMILY_LIKE,STABLE,2.0,0.4751104934531729,0.7894762601547056,88.25318691129516,91.2,0.0717130771642955,0.2797471119741931,21,-18.385064374588865,-26.678872040562183,SN-RRF-family-like comparator dominates the triangular diagnostic margin.,Diagnostic residual-regime map only; not a physical dark-matter classification.,11.83345438572703,6036.111464948796,3.275360309783798,shuffled_radius_rrf_nfixed,-200.9805152604219,saturating_n2,6.420185805778775,5.432807681263624,11.92996962944553,6.4971619481819065,0,1,4,11,45.06393641515105,-18.385064374588865,-26.678872040562183,0,1,1,NOT_TESTED_DATA_AVAILABILITY_HOLD
NGC0247,NUISANCE_SENSITIVE,NUISANCE_SENSITIVE_ZONE,PASS_THROUGH_CAUTION,PROXY_MISMATCH_DIAGNOSTIC_CAUTION,SN_RRF_RAR_ADVANTAGE_NFW_COMPETITIVE,0.1607890158267562,NUISANCE_SENSITIVE,STABLE,1.25,0.1210005570401167,0.0972548888846179,105.0,108.0,0.1711993075392346,0.3700970975056689,26,-83.64643289335555,-145.7062054655939,Classification is dominated by nuisance-boundary sensitivity and is not mapped as a physical residual regime.,Diagnostic residual-regime map only; not a physical dark-matter classification.,161.72121252058312,4761.738247008127,1.8868795068693136,shuffled_radius_rrf_nfixed,-392.4674490575399,saturating_n1,123.158886632924,36.37136285763194,161.83211696264604,125.4607541050141,0,0,1,3,229.35263835894946,-83.64643289335555,-145.7062054655939,1,1,1,NOT_TESTED_DATA_AVAILABILITY_HOLD
NGC0289,SN_RRF_RAR_ADVANTAGE_NFW_COMPETITIVE,RESPONSE_FAMILY_WITH_NFW_COMPETITIVE_ZONE,LOW_TO_MEDIUM_RECLASSIFICATION_CAUTION,PROXY_AMBIGUOUS_NEAR_TIE,SN_RRF_FAMILY_TRIANGLE_DOMINANT,0.0392755057114504,UNRESOLVED_OR_WEAK,WEAK-MISMATCH,1.0,0.0141162959225653,0.8675265699891052,166.0,194.0,0.2416826300158278,0.3135273116562636,28,-6.4094635072125,-167.356497374309,SN-RRF-family-like margin is strong relative to RAR-like while NFW-like remains competitive.,Diagnostic residual-regime map only; not a physical dark-matter classification.,63.28893554210363,21204.251952256443,6.827843038493158,shuffled_radius_rrf_nfixed,-11.906080665454295,saturating_n1,7.831800963929623,55.45808267567463,63.2990306747022,7.840947999027563,0,1,5,18,173.7659608815215,-6.4094635072125,-167.356497374309,0,1,1,NOT_TESTED_DATA_AVAILABILITY_HOLD
NGC0300,SN_RRF_FAMILY_TRIANGLE_DOMINANT,RESPONSE_FAMILY_DOMINANT_ZONE,LOW_TO_MEDIUM_RECLASSIFICATION_CAUTION,PROXY_SUPPORTED,SN_RRF_FAMILY_TRIANGLE_DOMINANT,0.1213977327287763,SN_RRF_FAMILY_LIKE,CAUTION-RECLASSIFY,1.5,0.4784997912371106,0.8048134135329373,93.7,97.0,0.1550053289260283,0.2263246196619698,25,-32.18116120227826,-46.21532686144808,SN-RRF-family-like comparator dominates the triangular diagnostic margin.,Diagnostic residual-regime map only; not a physical dark-matter classification.,44.94206368961019,7342.766451363918,2.906784556533873,shuffled_radius_rrf_nfixed,-366.6026122277439,saturating_n2,28.299259602782257,13.129026415786454,44.97062880045967,31.841602384673216,0,0,3,6,78.39648806372634,-32.18116120227826,-46.21532686144808,0,1,1,NOT_TESTED_DATA_AVAILABILITY_HOLD
